,fsym_id,exdate,bbg_id,in_index
126,HSF35X-R,2020-10-08,BBG000BNNKG9,1
127,HVV49B-R,2020-10-06,BBG000BR37X2,1
128,HXYSHY-R,2020-10-01,BBG000CVD440,1
129,HY9P95-R,2020-01-02,BBG00X2VLC42,0
130,HZ7X0L-R,2020-10-07,BBG000BLXDJ5,0
131,HZDTJB-R,2020-12-21,BBG001CGD2R0,0
132,J0PDXC-R,2020-10-19,BBG0017WYCC2,0
133,J2LLSX-R,2020-10-30,BBG000QSM8F1,0
134,J3SLBM-R,2020-10-05,BBG000KN6TT5,0
135,JDJR0M-R,2020-12-30,BBG00KKD5N44,0
136,JDVMBC-R,2020-12-30,BBG000C665J4,1
137,JFW5HZ-R,2020-10-08,BBG000FP1N32,1
138,JH09HY-R,2020-12-11,BBG000BBVVP2,0
139,JJ7SY2-R,2020-10-15,BBG000BQPRQ4,0
140,JJ8MHV-R,2020-01-23,BBG000CL9JV4,0
141,JK8Z98-R,2020-10-08,BBG000BD6SQ2,0
142,JM9MDP-R,2020-12-30,BBG00CWWQGZ5,0
143,JMNLQC-R,2020-10-06,BBG000BFT2L4,1
144,JMPXBQ-R,2020-10-29,BBG000DMFQS2,0
145,JS2P50-R,2020-12-14,BBG000BSR5N9,1
146,JT8RWT-R,2020-12-30,BBG000GLMHS3,0
147,JTC04X-R,2020-10-21,BBG000BGRY34,1
148,JTCRLM-R,2020-12-30,BBG000C0FZY4,0
149,JWH12W-R,2020-10-14,BBG000BLMY92,1
150,JXLR9G-R,2020-12-22,BBG000DJYTQ4,0
151,JYRG0L-R,2020-10-29,BBG006G063F9,1
152,JYWJ4S-R,2019-12-05,BBG000BL30Y9,0
153,K296QZ-R,2020-10-29,BBG000BFHM51,0
154,K5L55N-R,2020-10-23,BBG000BLR6W2,0
155,KC6VBL-R,2020-12-22,BBG000BC9DK0,0
156,KCD6KM-R,2020-01-30,BBG000F2SFN9,0
157,KDJGTQ-R,2020-12-14,BBG000G1JDF4,0
158,KFJFWS-R,2020-10-14,BBG000C1HN22,1
159,KFP2R4-R,2020-10-08,BBG000C41023,1
160,KHX8Q2-R,2020-10-05,BBG000BN84F3,1
161,KK1SFD-R,2020-10-29,BBG000DW4Q75,1
162,KL1ZYP-R,2020-07-23,BBG000L3YBN2,0
163,KLCSS0-R,2020-12-16,BBG001LV74X3,0
164,KQG4SM-R,2020-11-23,BBG0055XMF02,0
165,KRPZPX-R,2020-10-14,BBG000BJTZX0,0
166,KTZBWY-R,2020-10-15,BBG000BNY197,0
167,KW4CLR-R,2020-10-22,BBG000BHF0Q4,0
168,KXCJCK-R,2020-12-30,BBG000QTCPR9,0
169,KZKK3D-R,2020-10-07,BBG000BG4202,1
170,L0TLL1-R,2020-10-06,BBG000CL6RJ3,0
171,L1TD9Y-R,2020-10-08,BBG000BKJ092,0
172,L1XNK0-R,2020-10-19,BBG000M44VW8,0
173,L2XPR4-R,2020-09-30,BBG000JLC8L8,0
174,L32Q9V-R,2020-07-27,BBG000BJSW86,0
175,L6CPTK-R,2020-10-08,BBG000BH5DV1,1
176,L6H03N-R,2020-10-01,BBG000BS5170,0
177,L6HTPF-R,2020-10-15,BBG000CQHQS2,0
