bm_id,fsym_id,bbg_id,cnt
SPTSX,L7MTPJ-R,BBG003FD9W71,2
SPTSX,L7N0TG-R,BBG000BZQ983,2
SPTSX,LD1K6L-R,BBG000CZX2P0,2
SPTSX,LF9ZDL-R,BBG000H21KT9,2
SPTSX,LGH1W3-R,BBG00GTR08C2,2
SPTSX,LTN487-R,BBG000DMM476,2
SPTSX,LRPWR2-R,BBG00VSHRSH4,2
SPTSX,LRJBXM-R,BBG000VGZPL2,2
SPTSX,MMMG1X-R,BBG009HT65R1,2
SPTSX,MBP9GT-R,BBG000JXM895,2
SPTSX,MKCXFN-R,BBG000BCNST2,2
SPTSX,MBJNMG-R,BBG0014LGC02,2
SPTSX,FCCHG2-R,BBG00B5CBKJ6,2
SPTSX,F07DSQ-R,BBG000QMKDM7,2
SPTSX,DQ510J-R,BBG000CZ8PQ6,2
SPTSX,F3HW5T-R,BBG000BT9174,2
SPTSX,DZ4XT5-R,BBG000BJTBJ9,2
SPTSX,FVDJNT-R,BBG000BDQNT8,2
SPTSX,FYT21Z-R,BBG000TPV2Y6,2
SPTSX,FV85BQ-R,BBG000C1CPP7,2
SPTSX,GTWXR1-R,BBG000CZ62D3,2
SPTSX,GW7J66-R,BBG000FT86F1,2
SPTSX,GCCR8P-R,BBG000P87B57,2
SPTSX,GRLQZ7-R,BBG000D0FMX3,2
SPTSX,B8350Q-R,BBG000BZNSD8,2
SPTSX,CD94SL-R,BBG000G5FQQ8,2
SPTSX,C0ZKS6-R,BBG006FD67J9,2
SPTSX,DJHD0P-R,BBG000BYMXV1,2
SPTSX,DF3WQM-R,BBG000BYDP11,2
SPTSX,D79MYG-R,BBG000BCT053,2
SPTSX,D54YRW-R,BBG000BCRMB0,2
SPTSX,D0H09V-R,BBG000BYTR65,2
SPTSX,CY9XBW-R,BBG000BZ6FG2,2
SPTSX,CRNHT8-R,BBG000BDF0G4,2
SPTSX,CQCV51-R,BBG000BY34Q2,2
SPTSX,CG3M36-R,BBG00B0VKL16,2
SPTSX,CGDY8B-R,BBG000BZGJZ2,2
SPTSX,CLZ09Q-R,BBG000BD1VR9,2
SPTSX,W3F6YL-R,BBG000BTJ2T7,3
